TimePeriod,gdp,consumption,investment,Exports,Imports,government_spending,Residual,gdp_percent_delta,consumption_pct_delta,investment_pct_delta,Exports_percent_delta,Imports_percent_delta,government_spending_percent_delta,gdp_percent_2delta,consumption_pct_2delta,investment_pct_2delta,Exports_pct_2delta,government_spending_pct_2delta,negative_growth,unemployment_rate,employed,Unemployed,civilian_labor_force,civilian_labor_force_participation_rate,unemployment_rate_percent_delta,employed_percent_delta,Unemployed_percent_delta,civilian_labor_force_percent_delta,civilian_labor_force_participation_rate_percent_delta
1997-09-30,11615636.0,7468188.0,1882955.0,1210660.0,1403959.0,2483546.0,-121806.0,5.098054669004881,6.991168233725276,5.7190643643211025,9.59186496817419,15.57284437609654,1.8647661032120455,-0.24738451338719136,2.78448175766504,-0.7711942917978555,-0.4206121262001383,-0.6427324320103234,0.0,4.9,130019.0,6656.0,136675.0,67.1,-0.019999999999999907,0.004690446017370897,-0.021032504780114758,0.0034064796528914254,0.0
1997-12-31,11715393.0,7557449.0,1911048.0,1208974.0,1434248.0,2496010.0,-127620.0,3.4797739156115615,4.867262711502729,6.1027443840261375,-0.5558889565838832,8.912897205259673,2.022614864129757,-0.3134125889885896,-0.29848060238941543,0.06562192499252228,-1.0601245018460164,0.08401588226844625,0.0,4.7,130679.0,6476.0,137155.0,67.2,-0.04081632653061229,0.005076181173520711,-0.027043269230769273,0.0035119809767696353,0.0014903129657228842
1998-03-31,11832486.0,7633895.0,1994375.0,1214634.0,1488026.0,2487078.0,-165675.0,4.058257640232332,4.1079340454769575,18.61535268406329,1.885854106796181,15.863079328418994,-1.4237393895245698,0.16378749181690355,-0.15368305756303458,1.9225097776139743,-4.361739781426174,-1.7130453654610531,0.0,4.7,130814.0,6422.0,137236.0,67.1,0.0,0.0010330657565484902,-0.008338480543545357,0.0005905727097079705,-0.0014880952380953438
1998-06-30,11942032.0,7768323.0,1982058.0,1201227.0,1522131.0,2530606.0,-74517.0,3.7549738290793,7.2319912525178776,-2.4475571108652616,-4.342592547345903,9.487879678371547,7.186603697102156,-0.07371111298017463,0.7408606718217408,-1.141639364324438,-3.3576900222982586,-5.890766328961688,0.0,4.5,131244.0,6212.0,137455.0,67.0,-0.042553191489361764,0.0032871099423608108,-0.032700093428838395,0.001595791191815632,-0.0014903129657226621
1998-09-30,12091614.0,7869624.0,2033015.0,1195642.0,1542697.0,2549668.0,-84879.0,5.105193650190398,5.31902549665475,10.687071259004654,-1.8468349900274017,5.515051688622075,3.0472484076456308,0.35294636512071964,-0.2594695815408352,-5.162836683957359,-0.5787771555683985,-0.569607569320371,0.0,4.6,131986.0,6300.0,138286.0,67.2,0.022222222222222143,0.005653591783243428,0.014166130070830674,0.0060456149285219585,0.0029850746268658135
1998-12-31,12287000.0,7983316.0,2095760.0,1239885.0,1592678.0,2564713.0,-87483.0,6.621879538646547,5.905215669386132,12.928577213535286,15.643432696859039,13.602891244122905,2.3812810473001544,0.2900545121456486,0.10787169275363162,0.20046927122605718,-8.958758251319807,-0.2166341645426908,0.0,4.4,132602.0,6032.0,138634.0,67.2,-0.04347826086956508,0.004667161668661768,-0.042539682539682544,0.0025165237261906004,0.0
1999-03-31,12403293.0,8060776.0,2153308.0,1238297.0,1633882.0,2582150.0,-115397.0,3.839976010366586,3.937946126486591,11.444445383238232,-0.5113222030566744,10.756909471803787,2.7473847852390376,-0.41426854303335814,-0.32838830659813145,-0.11028656797696768,-1.0346119196465473,0.15219088616697785,0.0,4.2,132947.0,5783.0,138730.0,67.0,-0.045454545454545525,0.002601770712357343,-0.041279840848806315,0.0006924708224533838,-0.0029761904761904656
1999-06-30,12498694.0,8178302.0,2154652.0,1250066.0,1680016.0,2591864.0,-46216.0,3.112313234166053,5.9607841922044935,0.24989621959508046,3.8562146850522394,11.781753532591544,1.5133053364302373,-0.18734126438842635,0.5026676258230391,-0.9772697387676429,-8.42071324996311,-0.44667073853499484,0.0,4.3,133378.0,5951.0,139329.0,67.1,0.023809523809523725,0.0032418933860862698,0.029050665744423387,0.004317739493981065,0.0014925373134326847
1999-09-30,12662385.0,8270609.0,2213773.0,1286473.0,1741984.0,2623303.0,-52185.0,5.3424741420865285,4.591739005730777,11.435559518123384,12.168504787151967,15.59072176205525,4.94094855777929,0.7027239405449122,-0.22586912243112534,42.96140051601777,2.0643418227024846,2.2243329568706907,0.0,4.2,133707.0,5915.0,139622.0,67.0,-0.023255813953488302,0.002466673664322405,-0.006049403461603098,0.002102936215719664,-0.0014903129657226621
1999-12-31,12877593.0,8391791.0,2273095.0,1318222.0,1784003.0,2664249.0,-104973.0,6.97362758492599,5.990923861293718,11.157303108255135,10.243125682537247,10.003290050882097,6.391130121600508,0.2977251789485218,0.2981627207358224,-0.02339697822248532,-0.15262153190745575,0.2867865475911737,0.0,4.0,134523.0,5653.0,140177.0,67.1,-0.04761904761904767,0.006102896632188326,-0.04429416737109049,0.003975018263597363,0.0014925373134326847
2000-03-31,12924179.0,8520710.0,2257109.0,1337203.0,1853884.0,2645393.0,-3732.0,1.454911786723656,6.288065199662318,-2.783544391411774,5.88517227550327,16.613251182338363,-2.8010542817188955,-0.7871479535506942,0.04848360256086082,-1.2624457375931675,-0.4165533389546504,-1.4534315464616787,0.0,4.0,136701.0,5733.0,142434.0,67.3,0.0,0.01619053990767383,0.014151777817088318,0.01610107221584145,0.0029806259314455463
2000-06-30,13160842.0,8603007.0,2390733.0,1375203.0,1911437.0,2671254.0,-91503.0,7.528315853486212,3.919719837228164,25.86766490105021,11.8607882482054,13.008140476939833,3.9680603838450956,4.0618197232191395,-0.37129639511921353,-9.418015356566952,0.973584476764602,-2.381275651036358,0.0,4.0,136940.0,5651.0,142591.0,67.1,0.0,0.001748341270363829,-0.014303157160300062,0.0011022649086593894,-0.002971768202080227
2000-09-30,13178419.0,8687485.0,2367274.0,1408783.0,1978137.0,2659687.0,-53993.0,0.535292312791924,3.986070205291603,-3.867594923849038,10.13089403345544,14.705835141284872,-1.7208525931904473,-0.9270653880978098,0.016681983744091244,-1.1657473079404583,-0.1407340026393028,-1.4429456447192055,0.0,3.9,136893.0,5625.0,142518.0,66.9,-0.025000000000000022,-0.0003432160070103718,-0.0046009555830826,-0.0005119537698732302,-0.0029806259314454353
2000-12-31,13260506.0,8762205.0,2371809.0,1396844.0,1977750.0,2675695.0,-50593.0,2.5149346649500304,3.484991374565638,0.7684870003673794,-3.3470269447683276,-0.07823248775802316,2.429323912731274,3.663908215102908,-0.12411024154433947,-1.1952317036996534,-1.3470643207500062,-2.3899558156670104,0.0,3.9,137614.0,5634.0,143248.0,67.0,0.0,0.00526688727692437,0.0016000000000000458,0.005122160007858589,0.001494768310911665
2001-03-31,13222690.0,8797280.0,2264202.0,1376171.0,1946136.0,2716773.0,59976.0,-1.135840311114944,1.61083516299787,-16.949580985075396,-5.789788178842947,-6.242250816835604,6.2837774753848885,-1.457830182838458,-0.5345838229501816,-24.68274549614271,0.7463518478161688,1.5507396810621459,1.0,4.3,137783.0,6141.0,143924.0,67.2,0.10256410256410264,0.0012280727251587908,0.08998935037273692,0.004719088573662544,0.0029850746268658135
2001-06-30,13299984.0,8818079.0,2267433.0,1330818.0,1886626.0,2764085.0,8918.0,2.358805503771033,0.9490605046781342,0.5720200763657424,-12.54491660947592,-11.681737717848995,7.149997882415526,-3.0497952088422857,-0.40937779590563983,-1.0314529205025986,1.2267836314921374,0.13434528772646526,0.0,4.5,136873.0,6484.0,143357.0,66.7,0.04651162790697683,-0.006604588374472864,0.05585409542419795,-0.003939579222367318,-0.007440476190476164
