year,period,periodName,unemployment_rate,employed,Unemployed,civilian_labor_force,civilian_labor_force_participation_rate
1995,M01,January,5.6,124663,7375,132038,66.8
1995,M02,February,5.4,124928,7187,132115,66.8
1995,M03,March,5.4,124955,7153,132108,66.7
1995,M04,April,5.8,124945,7645,132590,66.9
1995,M05,May,5.6,124421,7430,131851,66.5
1995,M06,June,5.6,124522,7427,131949,66.5
1995,M07,July,5.7,124816,7527,132343,66.6
1995,M08,August,5.7,124852,7484,132336,66.6
1995,M09,September,5.6,125133,7478,132611,66.6
1995,M10,October,5.5,125388,7328,132716,66.6
1995,M11,November,5.6,125188,7426,132614,66.5
1995,M12,December,5.6,125088,7423,132511,66.4
1996,M01,January,5.6,125125,7491,132616,66.4
1996,M02,February,5.5,125639,7313,132952,66.6
1996,M03,March,5.5,125862,7318,133180,66.6
1996,M04,April,5.6,125994,7415,133409,66.7
1996,M05,May,5.6,126244,7423,133667,66.7
1996,M06,June,5.3,126602,7095,133697,66.7
1996,M07,July,5.5,126947,7337,134284,66.9
1996,M08,August,5.1,127172,6882,134054,66.7
1996,M09,September,5.2,127536,6979,134515,66.9
1996,M10,October,5.2,127890,7031,134921,67.0
1996,M11,November,5.4,127771,7236,135007,67.0
1996,M12,December,5.4,127860,7253,135113,67.0
1997,M01,January,5.3,128298,7158,135456,67.0
1997,M02,February,5.2,128298,7102,135400,66.9
1997,M03,March,5.2,128891,7000,135891,67.1
1997,M04,April,5.1,129143,6873,136016,67.1
1997,M05,May,4.9,129464,6655,136119,67.1
1997,M06,June,5.0,129412,6799,136211,67.1
1997,M07,July,4.9,129822,6655,136477,67.2
1997,M08,August,4.8,130010,6608,136618,67.2
1997,M09,September,4.9,130019,6656,136675,67.1
1997,M10,October,4.7,130179,6454,136633,67.1
1997,M11,November,4.6,130653,6308,136961,67.2
1997,M12,December,4.7,130679,6476,137155,67.2
1998,M01,January,4.6,130726,6368,137095,67.1
1998,M02,February,4.6,130807,6306,137112,67.1
1998,M03,March,4.7,130814,6422,137236,67.1
1998,M04,April,4.3,131209,5941,137150,67.0
1998,M05,May,4.4,131325,6047,137372,67.0
1998,M06,June,4.5,131244,6212,137455,67.0
1998,M07,July,4.5,131329,6259,137588,67.0
1998,M08,August,4.5,131390,6179,137570,67.0
1998,M09,September,4.6,131986,6300,138286,67.2
1998,M10,October,4.5,131999,6280,138279,67.2
1998,M11,November,4.4,132280,6100,138381,67.1
1998,M12,December,4.4,132602,6032,138634,67.2
1999,M01,January,4.3,133027,5976,139003,67.2
1999,M02,February,4.4,132856,6111,138967,67.2
1999,M03,March,4.2,132947,5783,138730,67.0
1999,M04,April,4.3,132955,6004,138959,67.1
1999,M05,May,4.2,133311,5796,139107,67.1
1999,M06,June,4.3,133378,5951,139329,67.1
1999,M07,July,4.3,133414,6025,139439,67.1
1999,M08,August,4.2,133591,5838,139430,67.0
1999,M09,September,4.2,133707,5915,139622,67.0
1999,M10,October,4.1,133993,5778,139771,67.0
1999,M11,November,4.1,134309,5716,140025,67.1
1999,M12,December,4.0,134523,5653,140177,67.1
2000,M01,January,4.0,136559,5708,142267,67.3
2000,M02,February,4.1,136598,5858,142456,67.3
2000,M03,March,4.0,136701,5733,142434,67.3
2000,M04,April,3.8,137270,5481,142751,67.3
2000,M05,May,4.0,136630,5758,142388,67.1
2000,M06,June,4.0,136940,5651,142591,67.1
2000,M07,July,4.0,136531,5747,142278,66.9
2000,M08,August,4.1,136662,5853,142514,66.9
2000,M09,September,3.9,136893,5625,142518,66.9
2000,M10,October,3.9,137088,5534,142622,66.8
2000,M11,November,3.9,137322,5639,142962,66.9
2000,M12,December,3.9,137614,5634,143248,67.0
2001,M01,January,4.2,137778,6023,143800,67.2
2001,M02,February,4.2,137612,6089,143701,67.1
2001,M03,March,4.3,137783,6141,143924,67.2
2001,M04,April,4.4,137299,6271,143569,66.9
2001,M05,May,4.3,137092,6226,143318,66.7
2001,M06,June,4.5,136873,6484,143357,66.7
2001,M07,July,4.6,137071,6583,143654,66.8
2001,M08,August,4.9,136241,7042,143284,66.5
2001,M09,September,5.0,136846,7142,143989,66.8
2001,M10,October,5.3,136392,7694,144086,66.7
2001,M11,November,5.5,136238,8003,144240,66.7
2001,M12,December,5.7,136047,8258,144305,66.7
2002,M01,January,5.7,135701,8182,143883,66.5
2002,M02,February,5.7,136438,8215,144653,66.8
2002,M03,March,5.7,136177,8304,144481,66.6
2002,M04,April,5.9,136126,8599,144725,66.7
2002,M05,May,5.8,136539,8399,144938,66.7
2002,M06,June,5.8,136415,8393,144808,66.6
2002,M07,July,5.8,136413,8390,144803,66.5
2002,M08,August,5.7,136705,8304,145009,66.6
2002,M09,September,5.7,137302,8251,145552,66.7
2002,M10,October,5.7,137008,8307,145314,66.6
2002,M11,November,5.9,136521,8520,145041,66.4
2002,M12,December,6.0,136426,8640,145066,66.3
2003,M01,January,5.8,137417,8520,145937,66.4
2003,M02,February,5.9,137482,8618,146100,66.4
2003,M03,March,5.9,137434,8588,146022,66.3
2003,M04,April,6.0,137633,8842,146474,66.4
2003,M05,May,6.1,137544,8957,146500,66.4
2003,M06,June,6.3,137790,9266,147056,66.5
2003,M07,July,6.2,137474,9011,146485,66.2
2003,M08,August,6.1,137549,8896,146445,66.1
2003,M09,September,6.1,137609,8921,146530,66.1
2003,M10,October,6.0,137984,8732,146716,66.1
2003,M11,November,5.8,138424,8576,147000,66.1
2003,M12,December,5.7,138411,8317,146729,65.9
2004,M01,January,5.7,138472,8370,146842,66.1
2004,M02,February,5.6,138542,8167,146709,66.0
2004,M03,March,5.8,138453,8491,146944,66.0
2004,M04,April,5.6,138680,8170,146850,65.9
2004,M05,May,5.6,138852,8212,147065,66.0
2004,M06,June,5.6,139174,8286,147460,66.1
2004,M07,July,5.5,139556,8136,147692,66.1
2004,M08,August,5.4,139573,7990,147564,66.0
2004,M09,September,5.4,139487,7927,147415,65.8
2004,M10,October,5.5,139732,8061,147793,65.9
2004,M11,November,5.4,140231,7932,148162,66.0
2004,M12,December,5.4,140125,7934,148059,65.9
2005,M01,January,5.3,140245,7784,148029,65.8
2005,M02,February,5.4,140385,7980,148364,65.9
2005,M03,March,5.2,140654,7737,148391,65.9
2005,M04,April,5.2,141254,7672,148926,66.1
2005,M05,May,5.1,141609,7651,149261,66.1
2005,M06,June,5.0,141714,7524,149238,66.1
2005,M07,July,5.0,142026,7406,149432,66.1
2005,M08,August,4.9,142434,7345,149779,66.2
2005,M09,September,5.0,142401,7553,149954,66.1
2005,M10,October,5.0,142548,7453,150001,66.1
2005,M11,November,5.0,142499,7566,150065,66.0
2005,M12,December,4.9,142752,7279,150030,66.0
2006,M01,January,4.7,143150,7064,150214,66.0
2006,M02,February,4.8,143457,7184,150641,66.1
2006,M03,March,4.7,143741,7072,150813,66.2
2006,M04,April,4.7,143761,7120,150881,66.1
2006,M05,May,4.6,144089,6980,151069,66.1
2006,M06,June,4.6,144353,7001,151354,66.2
2006,M07,July,4.7,144202,7175,151377,66.1
2006,M08,August,4.7,144625,7091,151716,66.2
2006,M09,September,4.5,144815,6847,151662,66.1
2006,M10,October,4.4,145314,6727,152041,66.2
2006,M11,November,4.5,145534,6872,152406,66.3
2006,M12,December,4.4,145970,6762,152732,66.4
2007,M01,January,4.6,146028,7116,153144,66.4
2007,M02,February,4.5,146057,6927,152983,66.3
2007,M03,March,4.4,146320,6731,153051,66.2
2007,M04,April,4.5,145586,6850,152435,65.9
2007,M05,May,4.4,145903,6766,152670,66.0
2007,M06,June,4.6,146063,6979,153041,66.0
2007,M07,July,4.7,145905,7149,153054,66.0
2007,M08,August,4.6,145682,7067,152749,65.8
2007,M09,September,4.7,146244,7170,153414,66.0
2007,M10,October,4.7,145946,7237,153183,65.8
2007,M11,November,4.7,146595,7240,153835,66.0
2007,M12,December,5.0,146273,7645,153918,66.0
2008,M01,January,5.0,146378,7685,154063,66.2
2008,M02,February,4.9,146156,7497,153653,66.0
2008,M03,March,5.1,146086,7822,153908,66.1
2008,M04,April,5.0,146132,7637,153769,65.9
2008,M05,May,5.4,145908,8395,154303,66.1
2008,M06,June,5.6,145737,8575,154313,66.1
2008,M07,July,5.8,145532,8937,154469,66.1
2008,M08,August,6.1,145203,9438,154641,66.1
2008,M09,September,6.1,145076,9494,154570,66.0
2008,M10,October,6.5,144802,10074,154876,66.0
2008,M11,November,6.8,144100,10538,154639,65.9
2008,M12,December,7.3,143369,11286,154655,65.8
2009,M01,January,7.8,142152,12058,154210,65.7
2009,M02,February,8.3,141640,12898,154538,65.8
2009,M03,March,8.7,140707,13426,154133,65.6
2009,M04,April,9.0,140656,13853,154509,65.7
2009,M05,May,9.4,140248,14499,154747,65.7
2009,M06,June,9.5,140009,14707,154716,65.7
2009,M07,July,9.5,139901,14601,154502,65.5
2009,M08,August,9.6,139492,14814,154307,65.4
2009,M09,September,9.8,138818,15009,153827,65.1
2009,M10,October,10.0,138432,15352,153784,65.0
2009,M11,November,9.9,138659,15219,153878,65.0
2009,M12,December,9.9,138013,15098,153111,64.6
2010,M01,January,9.8,138438,15046,153484,64.8
2010,M02,February,9.8,138581,15113,153694,64.9
2010,M03,March,9.9,138751,15202,153954,64.9
2010,M04,April,9.9,139297,15325,154622,65.2
2010,M05,May,9.6,139241,14849,154091,64.9
2010,M06,June,9.4,139141,14474,153616,64.6
2010,M07,July,9.4,139179,14512,153691,64.6
2010,M08,August,9.5,139438,14648,154086,64.7
2010,M09,September,9.5,139396,14579,153975,64.6
2010,M10,October,9.4,139119,14516,153635,64.4
2010,M11,November,9.8,139044,15081,154125,64.6
2010,M12,December,9.3,139301,14348,153650,64.3
2011,M01,January,9.1,139250,14013,153263,64.2
2011,M02,February,9.0,139394,13820,153214,64.1
2011,M03,March,9.0,139639,13737,153376,64.2
2011,M04,April,9.1,139586,13957,153543,64.2
2011,M05,May,9.0,139624,13855,153479,64.1
2011,M06,June,9.1,139384,13962,153346,64.0
2011,M07,July,9.0,139524,13763,153288,64.0
2011,M08,August,9.0,139942,13818,153760,64.1
2011,M09,September,9.0,140183,13948,154131,64.2
2011,M10,October,8.8,140368,13594,153961,64.1
2011,M11,November,8.6,140826,13302,154128,64.1
2011,M12,December,8.5,140902,13093,153995,64.0
2012,M01,January,8.3,141584,12797,154381,63.7
2012,M02,February,8.3,141858,12813,154671,63.8
2012,M03,March,8.2,142036,12713,154749,63.8
2012,M04,April,8.2,141899,12646,154545,63.7
2012,M05,May,8.2,142206,12660,154866,63.7
2012,M06,June,8.2,142391,12692,155083,63.8
2012,M07,July,8.2,142292,12656,154948,63.7
2012,M08,August,8.1,142291,12471,154763,63.5
2012,M09,September,7.8,143044,12115,155160,63.6
2012,M10,October,7.8,143431,12124,155554,63.8
2012,M11,November,7.7,143333,12005,155338,63.6
2012,M12,December,7.9,143330,12298,155628,63.7
2013,M01,January,8.0,143292,12471,155763,63.7
2013,M02,February,7.7,143362,11950,155312,63.4
2013,M03,March,7.5,143316,11689,155005,63.3
2013,M04,April,7.6,143635,11760,155394,63.4
2013,M05,May,7.5,143882,11654,155536,63.4
2013,M06,June,7.5,143999,11751,155749,63.4
2013,M07,July,7.3,144264,11335,155599,63.3
2013,M08,August,7.2,144326,11279,155605,63.3
2013,M09,September,7.2,144418,11270,155687,63.2
2013,M10,October,7.2,143537,11136,154673,62.8
2013,M11,November,6.9,144479,10787,155265,63.0
2013,M12,December,6.7,144778,10404,155182,62.9
2014,M01,January,6.6,145150,10202,155352,62.9
2014,M02,February,6.7,145134,10349,155483,62.9
2014,M03,March,6.7,145648,10380,156028,63.1
2014,M04,April,6.2,145667,9702,155369,62.8
2014,M05,May,6.3,145825,9859,155684,62.9
2014,M06,June,6.1,146247,9460,155707,62.8
2014,M07,July,6.2,146399,9608,156007,62.9
2014,M08,August,6.1,146530,9599,156130,62.9
2014,M09,September,5.9,146778,9262,156040,62.8
2014,M10,October,5.7,147427,8990,156417,62.9
2014,M11,November,5.8,147404,9090,156494,62.9
2014,M12,December,5.6,147615,8717,156332,62.8
2015,M01,January,5.7,148145,8885,157030,62.9
2015,M02,February,5.5,148045,8599,156644,62.7
2015,M03,March,5.4,148128,8515,156643,62.6
2015,M04,April,5.4,148511,8550,157060,62.8
2015,M05,May,5.6,148817,8834,157651,62.9
2015,M06,June,5.3,148816,8247,157062,62.7
2015,M07,July,5.2,148830,8167,156997,62.6
2015,M08,August,5.1,149181,7992,157172,62.6
2015,M09,September,5.0,148826,7907,156733,62.4
2015,M10,October,5.0,149246,7922,157167,62.5
2015,M11,November,5.1,149463,8000,157463,62.5
2015,M12,December,5.0,150128,7907,158035,62.7
2016,M01,January,4.9,150621,7721,158342,62.7
2016,M02,February,4.9,150908,7746,158653,62.8
2016,M03,March,5.0,151157,7945,159103,62.9
2016,M04,April,5.0,151006,7975,158981,62.8
2016,M05,May,4.8,151119,7668,158787,62.7
2016,M06,June,4.9,151187,7786,158973,62.7
2016,M07,July,4.8,151465,7658,159123,62.7
2016,M08,August,4.9,151770,7809,159579,62.9
2016,M09,September,5.0,151850,7967,159817,62.9
2016,M10,October,4.9,151907,7827,159734,62.8
2016,M11,November,4.7,152063,7488,159551,62.7
2016,M12,December,4.7,152216,7495,159710,62.7
2017,M01,January,4.7,152129,7518,159647,62.8
2017,M02,February,4.6,152368,7399,159767,62.8
2017,M03,March,4.4,152978,7088,160066,62.9
2017,M04,April,4.4,153224,7085,160309,63.0
2017,M05,May,4.4,153001,7059,160060,62.8
2017,M06,June,4.3,153299,6933,160232,62.8
2017,M07,July,4.3,153471,6867,160339,62.8
2017,M08,August,4.4,153593,7097,160690,62.9
2017,M09,September,4.2,154371,6841,161212,63.1
2017,M10,October,4.1,153779,6599,160378,62.7
2017,M11,November,4.2,153813,6697,160510,62.7
2017,M12,December,4.1,153977,6561,160538,62.7
2018,M01,January,4.1,154486,6582,161068,62.7
2018,M02,February,4.1,155142,6641,161783,63.0
2018,M03,March,4.0,155191,6493,161684,62.9
2018,M04,April,4.0,155324,6418,161742,62.9
2018,M05,May,3.8,155665,6209,161874,62.9
2018,M06,June,4.0,155750,6519,162269,63.0
2018,M07,July,3.8,155993,6180,162173,62.9
2018,M08,August,3.8,155601,6167,161768,62.7
2018,M09,September,3.7,156032,6045,162078,62.8
2018,M10,October,3.8,156482,6123,162605,62.9
2018,M11,November,3.7,156628,6034,162662,62.9
2018,M12,December,3.9,156825,6286,163111,63.0
2019,M01,January,4.0,156627,6516,163142,63.2
2019,M02,February,3.8,156866,6181,163047,63.1
2019,M03,March,3.8,156741,6194,162935,63.0
2019,M04,April,3.6,156696,5850,162546,62.8
2019,M05,May,3.6,156844,5938,162782,62.9
2019,M06,June,3.7,157148,5985,163133,63.0
2019,M07,July,3.7,157346,6027,163373,63.0
2019,M08,August,3.7,157895,5999,163894,63.2
2019,M09,September,3.5,158298,5753,164051,63.2
2019,M10,October,3.6,158544,5857,164401,63.3
2019,M11,November,3.5,158536,5811,164347,63.2
2019,M12,December,3.5,158803,5753,164556,63.2
2020,M01,January,3.6,158714,5892,164606,63.4
2020,M02,February,3.5,158759,5787,164546,63.4
2020,M03,March,4.4,155772,7140,162913,62.7
2020,M04,April,14.7,133403,23078,156481,60.2
2020,M05,May,13.3,137242,20985,158227,60.8
2020,M06,June,11.1,142182,17750,159932,61.5
2020,M07,July,10.2,143532,16338,159870,61.4
