TimePeriod,Gross domestic product,Personal consumption expenditures,Gross private domestic investment,Change in private inventories,Exports,Imports,Government consumption expenditures and gross investment,Residual,Net exports of goods and services,Goods,Services,Durable goods,Nondurable goods,Fixed investment,Nonresidential,Structures,Equipment,Intellectual property products,Residential,Federal,National defense,Nondefense,State and local
2017Q2,"18,054,052","12,533,097","3,149,115",637,"2,451,903","3,266,902","3,169,017","26,038","-814,998","4,380,763","8,169,311","1,561,261","2,826,298","3,127,744","2,507,312","537,615","1,135,489","834,816","612,734","1,192,745","716,878","475,431","1,974,196"
2017Q3,"18,185,636","12,604,529","3,207,492","56,087","2,467,962","3,281,001","3,170,600","9,074","-813,039","4,424,942","8,199,667","1,594,660","2,838,657","3,137,148","2,520,262","522,306","1,152,636","848,366","610,093","1,191,295","714,155","476,640","1,977,175"
2017Q4,"18,359,432","12,733,742","3,256,712","25,302","2,536,238","3,383,204","3,192,807","15,722","-846,966","4,508,294","8,251,850","1,645,677","2,873,201","3,209,248","2,576,411","528,394","1,191,380","860,874","625,500","1,205,964","724,690","480,830","1,984,858"
2018Q1,"18,530,483","12,798,099","3,342,469","47,267","2,553,171","3,386,122","3,204,337","7,732","-832,951","4,531,609","8,293,225","1,661,890","2,881,240","3,275,200","2,651,535","554,845","1,220,290","879,287","620,315","1,211,698","723,819","487,278","1,990,678"
2018Q2,"18,654,383","12,898,098","3,333,260","-4,943","2,565,247","3,385,397","3,227,257","2,101","-820,151","4,578,468","8,348,532","1,690,593","2,900,883","3,310,564","2,691,901","561,647","1,227,682","905,217","617,612","1,222,297","733,875","487,950","2,003,037"
2018Q3,"18,752,355","12,982,980","3,415,408","79,085","2,530,950","3,451,284","3,247,433","3,177","-920,334","4,610,707","8,401,735","1,703,854","2,920,133","3,317,044","2,709,455","553,185","1,245,947","914,939","609,123","1,235,797","743,506","491,868","2,009,892"
2018Q4,"18,813,923","13,033,382","3,448,297","92,252","2,548,787","3,486,043","3,240,173","-8,674","-937,256","4,639,845","8,425,067","1,714,261","2,938,897","3,338,697","2,742,629","534,890","1,274,783","941,503","600,989","1,241,599","755,131","486,354","1,997,129"
2019Q1,"18,950,347","13,093,153","3,481,311","101,749","2,560,413","3,467,787","3,260,037","-19,574","-907,374","4,668,620","8,457,500","1,718,334","2,962,866","3,362,251","2,770,791","545,536","1,281,078","951,910","598,397","1,245,767","765,497","480,549","2,012,720"
2019Q2,"19,020,599","13,212,778","3,429,949","49,435","2,531,422","3,482,850","3,300,261","-18,532","-951,428","4,756,250","8,498,268","1,770,457","3,001,014","3,358,583","2,771,049","547,750","1,268,611","961,541","595,219","1,273,567","773,745","499,674","2,025,477"
2019Q3,"19,141,744","13,301,349","3,445,703","44,049","2,536,562","3,486,787","3,317,715","-24,572","-950,225","4,805,187","8,541,450","1,797,836","3,023,886","3,378,949","2,783,882","552,553","1,263,254","974,028","601,944","1,288,518","784,429","503,996","2,028,275"
2019Q4,"19,253,959","13,353,687","3,413,313","-1,052","2,557,846","3,419,332","3,337,460","-37,347","-861,486","4,811,821","8,584,855","1,811,677","3,018,222","3,387,181","2,781,484","545,137","1,257,957","985,158","610,520","1,301,120","797,078","504,123","2,035,602"
2020Q1,"19,010,848","13,118,406","3,333,963","-80,946","2,495,099","3,283,110","3,347,857","-34,466","-788,011","4,812,918","8,365,316","1,751,961","3,070,591","3,375,407","2,733,811","540,014","1,207,065","991,054","637,624","1,306,142","796,537","509,561","2,041,017"
2020Q2,"17,282,188","11,819,579","2,854,885","-286,407","1,943,082","2,704,012","3,370,904","-92,498","-760,930","4,680,493","7,266,744","1,746,454","2,949,252","3,099,614","2,535,793","487,904","1,080,014","971,447","566,082","1,360,100","804,759","554,344","2,012,123"
